id,question,votes,tags
360751,Can I embed a custom font in an iPhone application?,782,"ios, cocoa-touch, fonts"
25824908,Xcode process launch failed: Security,779,"ios, xcode, process, build"
4763519,Loaded nib but the 'view' outlet was not set,775,"ios, cocoa-touch, interface-builder, xib"
4139219,"How do you trigger a block after a delay, like -performSelector:withObject:afterDelay:?",756,"ios, objective-c, grand-central-dispatch, objective-c-blocks"
626898,How do I create delegates in Objective-C?,755,"ios, objective-c, cocoa, callback, delegates"
1369831,Eliminate extra separators below UITableView,750,"ios, uitableview, cocoa-touch"
1328638,Placeholder in UITextView,740,"ios, objective-c, cocoa-touch, uitextview, placeholder"
433907,How to link to apps on the app store,734,"ios, objective-c, app-store"
37800790,Hide strange unwanted Xcode logs,730,"ios, xcode, logging, xcode8, ios10"
24420873,Xcode 6: Keyboard does not show up in simulator,721,"ios, keyboard, ios-simulator"
35429801,This action could not be completed. Try Again (-22421),706,"ios, xcode, app-store-connect"
6851660,Version vs build in Xcode,683,"ios, xcode"
25770119,iOS 8 UITableView separator inset 0 not working,672,"ios, objective-c, swift, uitableview, ios8"
899209,How do I test if a string is empty in Objective-C?,668,"ios, objective-c, nsstring"
18880341,Why is there extra padding at the top of my UITableView with style UITableViewStyleGrouped in iOS7,665,"ios, uitableview, ios7"
11862883,Attempt to present UIViewController on UIViewController whose view is not in the window hierarchy,630,"ios, cocoa-touch, ios6, views, hierarchy"
24924966,Xcode 6 Bug: Unknown class in Interface Builder file,623,"ios, xcode, xcode6, interface-builder, uistoryboard"
2191594,Send and receive messages through NSNotificationCenter in Objective-C?,619,"ios, objective-c, nsnotificationcenter"
24333981,"iOS app with framework crashed on device, dyld: Library not loaded, Xcode 6 Beta",610,"ios, swift, crash, frameworks, dyld"
473758,What does the NS prefix mean?,610,"ios, objective-c, cocoa, cocoa-touch, terminology"
7010547,UITextField text change event,598,"ios, objective-c, swift, event-handling, uitextfielddelegate"
12561735,What are Unwind segues for and how do you use them?,594,"ios, ios6, uistoryboard"
2777438,How to tell if UIViewController's view is visible,594,"ios, uiview, uiviewcontroller, uiwindow"
1509547,Giving UIView rounded corners,588,"ios, cocoa-touch, uiview"
1340224,iPhone UITextField - Change placeholder text color,579,"ios, uitextfield"
56435510,Presenting modal in iOS 13 fullscreen,574,"ios, viewcontroller, modalviewcontroller, ios13"
3309484,"UITableViewCell, show delete button on swipe",572,"ios, uitableview, cocoa-touch, uikit"
2467844,Convert UTF-8 encoded NSData to NSString,572,"ios, nsstring, nsdata"
1144629,"In Objective-C, how do I test the object type?",566,"ios, objective-c"
19036228,UIScrollView Scrollable Content Size Ambiguity,565,"ios, swift, uiscrollview, autolayout, interface-builder"
7678469,Should IBOutlets be strong or weak under ARC?,560,"ios, objective-c, cocoa-touch, interface-builder, automatic-ref-counting"
1560081,How can I create a UIColor from a hex string?,558,"ios, cocoa-touch, uicolor"
32631184,The resource could not be loaded because the App Transport Security policy requires the use of a secure connection,550,"ios, nsurlconnection, nsurlsession, ios9, xcode7"
50467,How do I size a UITextView to its content?,541,"ios, cocoa-touch, autolayout, uikit, uitextview"
276907,Starting iPhone app development in Linux? [closed],540,"ios, linux"
10848,How to programmatically send SMS on the iPhone?,535,"ios, objective-c, cocoa-touch, sms"
5677716,How to get the screen width and height in iOS?,529,"cocoa-touch, ios, uikit, screen"
746670,How to lose margin/padding in UITextView?,525,"ios, iphone, cocoa-touch, uikit, uitextview"
24022479,How would I create a UIAlertView in Swift?,516,"ios, swift, cocoa-touch, uialertview, uialertcontroller"
26180822,How to add constraints programmatically using Swift,510,"ios, swift, uiview, autolayout, nslayoutconstraint"
6993325,UIDevice uniqueIdentifier deprecated - What to do now?,505,"ios, deprecated, uidevice"
1760518,Codesign error: Provisioning profile cannot be found after deleting expired profile,504,"ios, xcode, provisioning-profile, codesign"
12395200,How to develop or migrate apps for iPhone 5 screen resolution?,499,"ios, iphone, screen, iphone-5"
1347779,How to navigate through textfields (Next / Done Buttons),498,"ios, objective-c, iphone"
7092613,Take screenshots in the iOS simulator,495,"ios, iphone, xcode, ios-simulator, screenshot"
26197347,"“Agreeing to the Xcode/iOS license requires admin privileges, please re-run as root via sudo.” when using GCC",492,"ios, xcode, gcc"
433337,Set the maximum character length of a UITextField,484,"ios, objective-c, cocoa-touch, uitextfield"
63607158,"Xcode 12, building for iOS Simulator, but linking in object file built for iOS, for architecture arm64",480,"ios, xcode, xcode12, xcode12beta5, xcode12beta6"
9038625,Detect if device is iOS,480,"javascript, ios, browser, browser-feature-detection"
5306240,iOS - Dismiss keyboard when touching outside of UITextField,479,"ios, cocoa-touch, uitextfield, uikit"
10167266,How to set cornerRadius for only top-left and top-right corner of a UIView?,478,"ios, cocoa-touch, uiview, cornerradius"
19226965,How to hide UINavigationBar 1px bottom line,478,"ios, objective-c, swift, ipad, uinavigationbar"
4808433,Is it possible to disable the network in iOS Simulator?,476,"ios, iphone, debugging, networking, ios-simulator"
10373331,NSOperation vs Grand Central Dispatch,476,"ios, concurrency, grand-central-dispatch, nsoperation, nsoperationqueue"
35390072,This certificate has an invalid issuer Apple Push Services,470,"ios, xcode, apple-push-notifications, ssl-certificate, keychain"
25797990,Capture iOS Simulator video for App Preview,468,"ios, ios-simulator, ios8, video-capture, screen-capture"
40154,How do you beta test an iphone app?,466,"ios, beta-testing"
24231680,Loading/Downloading image from URL on Swift,463,"ios, swift, uiimage, nsurl"
25965239,How do I get the App version and build number using Swift?,458,"ios, swift"
990221,Multiple lines of text in UILabel,457,"ios, uilabel, uitextview, line-breaks, multiline"
7080927,What does the “__block” keyword mean?,457,"objective-c, ios, objective-c-blocks"
26028918,How to determine the current iPhone/device model?,454,"ios, iphone, swift, device"
30731785,How do I load an HTTP URL with App Transport Security enabled in iOS 9? [duplicate],447,"ios, url, nsurl, ios9, app-transport-security"
24126678,Close iOS Keyboard by touching anywhere using Swift,446,"ios, swift, uikeyboard"
18947516,@import vs #import - iOS 7,444,"ios, objective-c, import, ios7"
17074365,Status bar and navigation bar appear over my view's bounds in iOS 7,440,"ios, ios7"
23758875,Capture image via captureStillImageAsynchronouslyFromConnection with no shutter sound [duplicate],440,"ios, objective-c, avfoundation"
3910244,Getting current device language in iOS?,439,"ios, objective-c, cocoa-touch, nslocale"
1460892,Symbolicating iPhone App Crash Reports,439,"ios, crash-reports, symbolicate"
4389932,How do you disable viewport zooming on Mobile Safari?,436,"html, ios, zooming, mobile-safari, viewport"
52390368,Array state will be cached in iOS 12 Safari. Is it a bug or feature?,435,"javascript, ios, safari, ios12"
19274789,How can I change image tintColor in iOS and WatchKit,434,"ios, swift, uiimage, uicolor, watchkit"
37806538,Code signing is required for product type 'Application' in SDK 'iOS 10.0' - StickerPackExtension requires a development team error,431,"ios, xcode, code-signing, provisioning-profile"
26024100,dyld: Library not loaded: @rpath/libswiftCore.dylib,430,"ios, swift, xcode, dyld"
30722883,iOS9 Untrusted Enterprise Developer with no option to trust,426,"ios, ios9, ios-enterprise"
2694411,Text inset for UITextField?,425,"ios, cocoa-touch, uitextfield"
39778607,Error Running React Native App From Terminal (iOS),425,"javascript, ios, reactjs, react-native, ios-simulator"
39481636,Updating to latest version of CocoaPods?,425,"ios, swift, xcode, cocoapods"
46316373,Fixing Xcode 9 issue: “iPhone is busy: Preparing debugger support for iPhone”,423,"ios, xcode, ios11, xcode9"
4754392,UIView with rounded corners and drop shadow?,421,"ios, cocoa-touch, uiview, calayer, rounded-corners"
24049020,NSNotificationCenter addObserver in Swift,421,"ios, swift, nsnotificationcenter"
32559724,iPad Multitasking support requires these orientations,414,"ios, objective-c, iphone, xcode, ipad"
2658738,The simplest way to resize an UIImage?,413,"ios, uiimage, resize"
29500227,"Getting error “No such module” using Xcode, but the framework is there",411,"ios, xcode, swift"
24016142,How do I make an HTTP request in Swift?,410,"ios, objective-c, swift, iphone, nsurlsession"
37805885,How to create dispatch queue in Swift 3,409,"ios, swift3, xcode8, grand-central-dispatch, dispatch-after"
4623974,Design for Facebook authentication in an iOS app that also accesses a secured web service,409,"ios, ios4, facebook, facebook-graph-api"
3727068,Set padding for UITextField with UITextBorderStyleNone,408,"ios, uitextfield, padding"
1383598,Core Data: Quickest way to delete all instances of an entity,408,"ios, objective-c, core-data"
724892,UITableView - scroll to the top,407,"ios, uitableview"
20487849,How to downgrade or install an older version of Cocoapods,406,"ios, ruby, rubygems, cocoapods"
10334688,How dangerous is it to compare floating point values?,404,"objective-c, ios, c, floating-point, floating-accuracy"
12402092,"File is universal (three slices), but it does not contain a(n) ARMv7-s slice error for static libraries on iOS, anyway to bypass?",403,"ios, objective-c, xcode, ios6, static-libraries"
460014,Can you animate a height change on a UITableViewCell when selected?,402,"ios, cocoa-touch, uitableview"
24263007,How to use hex color values,397,"ios, swift, uicolor"
845583,iPhone hide Navigation Bar only on first page,396,"ios, uinavigationcontroller, hide"
25827033,How do I convert a Swift Array to a String?,396,"ios, arrays, swift"
56537855,Is it possible to opt-out of dark mode on iOS 13?,394,"ios, ios13, ios-darkmode"
4952820,Test iOS app on device without apple developer program or jailbreak,394,"ios, ios-provisioning"
1465305,Set UIButton title UILabel font size programmatically,393,"objective-c, cocoa-touch, ios, uibutton, font-size"
38458170,iOS 10: “[App] if we're in the real pre-commit handler we can't actually add any new fences due to CA restriction”,390,ios
24032754,How to define optional methods in Swift protocol?,387,"ios, swift, optional-parameters, swift-protocols, swift-extensions"
17041669,Creating a blurring overlay view,387,"ios, objective-c, graphics, filtering, core-image"
7520971,Applications are expected to have a root view controller at the end of application launch,385,"ios, objective-c"
604632,How do you add multi-line text to a UIButton?,382,"ios, cocoa-touch, uibutton, uikit"
25471114,How to validate an e-mail address in swift?,379,"ios, validation, email, swift"
24002733,Add an element to an array in Swift,377,"ios, arrays, swift"
8927727,Objective-C ARC: strong vs retain and weak vs assign,374,"ios, objective-c, ios5, properties, automatic-ref-counting"
44382841,"How do you perform wireless debugging in Xcode 9 with iOS 11, Apple TV 4K, etc?",374,"ios, xcode, ios11, xcode9"
3889634,Fast and Lean PDF Viewer for iPhone / iPad / iOS - tips and hints?,373,"ios, swift, pdf, calayer, apple-pdfkit"
24056205,How to use background thread in swift?,371,"ios, swift, multithreading, dispatch-queue"
35841117,Missing Compliance in Status when I add built for internal testing in Test Flight.How to solve?,371,"ios, iphone, xcode, app-store-connect, testflight"
24115141,Converting String to Int with Swift,371,"ios, swift, int, uitextfield"
448162,"Determine device (iPhone, iPod Touch) with iOS",371,"ios, objective-c, iphone, ipod-touch"
788277,Error when testing on iOS simulator: Couldn't register with the bootstrap server,370,"ios, xcode, ios-simulator"
14520185,How to remove empty cells in UITableView? [duplicate],367,"ios, objective-c, uitableview"
10289890,How to write iOS app purely in C,367,"objective-c, ios, c, cocoa-touch, objective-c-runtime"
26287103,Cocoapods Warning - CocoaPods did not set the base configuration of your project because because your project already has a custom config set,365,"ios, xcode, cocoapods"
27652227,Add placeholder text inside UITextView in Swift?,362,"ios, swift, uitextview, placeholder"
38031137,How to program a delay in Swift 3,361,"ios, swift, xcode, swift3, dispatch-after"
26252233,Global constants file in Swift,359,"ios, objective-c, swift"
7864371,How to pass prepareForSegue: an object,359,"ios, xcode, uitableview, mapkit, storyboard"
805872,How do I draw a shadow under a UIView?,355,"iphone, objective-c, ios, cocoa-touch, core-graphics"
58657087,"After upgrading to Xcode 11.2 from Xcode 11.1, app crashes due to _UITextLayoutView",354,"ios, swift, xcode, uitextview, xcode11.2"
26791477,Xcode “Device Locked” When iPhone is unlocked,353,"ios, iphone, xcode, device"
20755044,How to install CocoaPods?,352,"ios, swift, xcode, rubygems, cocoapods"
3340825,UIButton remove all target-actions,351,"ios, uibutton"
25681869,Images can't contain alpha channels or transparencies,350,"ios, iphone, itunes, app-store-connect"
18065938,How to use auto-layout to move other views when a view is hidden?,347,"ios, iphone, cocoa-touch, interface-builder, autolayout"
155964,What are best practices that you use when writing Objective-C and Cocoa? [closed],346,"iphone, objective-c, cocoa, cocoa-touch, ios"
6368867,Generate JSON string from NSDictionary in iOS,346,"ios, objective-c, json, string"
4445173,When to use NSInteger vs. int,345,"ios, objective-c, types, nsinteger"
813068,UITableView - change section header color,344,"ios, uitableview, cocoa-touch"
150446,How do I detect when someone shakes an iPhone?,343,"ios, accelerometer, motion-detection, shake"
5720029,Create singleton using GCD's dispatch_once in Objective-C,343,"ios, objective-c, singleton, grand-central-dispatch"
25766747,Emulating aspect-fit behaviour using AutoLayout constraints in Xcode 6,342,"ios, objective-c, xcode, autolayout"
5427656,iOS UIImagePickerController result image orientation after upload,342,"ios, iphone, cocoa-touch, uiimage, uiimagepickercontroller"
9863836,library not found for -lPods,341,"iphone, objective-c, ios, xcode4.3, cocoapods"
8082719,Convert an NSURL to an NSString,341,"ios, objective-c, swift, nsstring, nsurl"
13751147,Remove or uninstall library previously added : cocoapods,339,"ios, iphone, ipad, cocoapods"
24551816,Swift - encode URL,337,"ios, swift, urlencode"
8710512,iTunes Connect: How to choose a good SKU?,336,"ios, app-store-connect"
17209468,How to disable back swipe gesture in UINavigationController on iOS 7,335,"ios, objective-c, uinavigationcontroller, uigesturerecognizer, ios7"
7100976,How do I put the image on the right side of the text in a UIButton?,334,"ios, user-interface, layout, uibutton"
10759973,Proper way to renew distribution certificate for iOS,332,"iphone, ios, app-store, app-store-connect, ios-provisioning"
4198676,“Warning: iPhone apps should include an armv6 architecture” even with build config set,332,"ios, xcode"
1998775,UITableView Cell selected Color?,331,"ios, objective-c, uitableview, selection-color"
193182,Programmatically get own phone number in iOS,331,"ios, iphone, phone-number"
40824727,I get conflicting provisioning settings error when I try to archive to submit an iOS app,330,"ios, xcode"
24162051,Best architectural approaches for building iOS networking applications (REST clients) [closed],330,"ios, objective-c, web-services, networking, ios7"
15348699,iPhone Simulator suddenly started running very slow,329,"ios, macos, ios-simulator, osx-mountain-lion"
28394933,How do I check when a UITextField changes?,329,"ios, swift, uitextfield"
2105289,iPhone App Icons - Exact Radius?,328,"iphone, ios, ipad, icons"
3935574,Can I use Objective-C blocks as properties?,325,"ios, objective-c, automatic-ref-counting, objective-c-blocks"
12737860,Assertion failure in dequeueReusableCellWithIdentifier:forIndexPath:,324,"ios, objective-c, uitableview"
25966215,What's the difference between all the Selection Segues?,324,"ios, ios8, xcode6, segue"
19829356,Color Tint UIButton Image,323,"ios, iphone, uibutton, ios7, uisegmentedcontrol"
3476646,UILabel text margin [duplicate],322,"ios, cocoa-touch, uikit, uilabel"
2156015,How to remove all subviews?,322,"ios, subview"
24035984,Instantiate and Present a viewController in Swift,322,"ios, objective-c, swift, uiviewcontroller"
25398312,Automatic Preferred Max Layout Width is not available on iOS versions prior to 8.0,322,"ios, autolayout, ios8, xcode6"
446405,Adjust UILabel height depending on the text,321,"ios, cocoa-touch, uikit, uilabel"
24039010,Ineligible Devices section appeared in Xcode 6.x.x,321,"ios, xcode6"
5361369,"UIView frame, bounds and center",321,"objective-c, ios, uiview, frame, bounds"
2774343,How do I associate file types with an iPhone application?,321,"ios, cocoa-touch"
24324021,How do I create a category in Xcode 6 or higher?,320,"ios, objective-c, categories, xcode6"
614212,How to hide 'Back' button on navigation bar on iPhone?,319,"ios, objective-c, iphone, navigation, uinavigationcontroller"
58321114,Why I get the console warning: [Process] kill() returned unexpected error 1 when I load a WKWebView in iOS13.2?,319,"ios, objective-c, wkwebview, ios13"
32677133,App installation failed due to application-identifier entitlement,318,"ios, watchkit, watchos-2"
26070242,Move view with keyboard using Swift,317,"ios, swift, uikit, nsnotificationcenter, uikeyboard"
952412,UIScrollView scroll to bottom programmatically,317,"ios, objective-c, swift, uiscrollview"
6358349,How to print Boolean flag in NSLog?,317,"ios, objective-c, cocoa-touch"
20276907,Enterprise app deployment doesn't work on iOS 7.1,317,"ios, deployment"
12509422,How to perform Unwind segue programmatically?,317,"ios, segue, ios6"
23074539,Programmatically create a UIView with color gradient,315,"ios, uiview, uicolor"
18933321,Can I safely delete contents of Xcode Derived data folder?,315,"ios, xcode"
999313,iPhone app signing: A valid signing identity matching this profile could not be found in your keychain,314,"ios, xcode"
3482346,How do you use NSAttributedString?,313,"ios, ios4, nsattributedstring, textcolor"
24428250,Generate a UUID on iOS from Swift,312,"ios, swift, cocoa-touch, guid, core-foundation"
5562938,Looking to understand the iOS UIViewController lifecycle,311,"ios, uiviewcontroller, xamarin.ios, lifecycle"
6429494,Undefined symbols for architecture armv7,311,"ios, armv7"
25736700,How to localise a string inside the iOS info.plist file?,310,"ios, xcode, plist, beta"
2267993,UITableview: How to Disable Selection for Some Rows but Not Others,309,"ios, iphone, objective-c, uitableview"
12497940,UIRefreshControl without UITableViewController,308,"objective-c, ios, uitableview, ios6, uirefreshcontrol"
4988564,how to implement a pop up dialog box in iOS,307,"ios, popup"
32579150,UIImageView missing images in Launch Screen on device,306,"ios, objective-c, uiimageview, uiimage, launch-screen"
2899699,UIWebView open links in Safari,306,"ios, uiwebview, mobile-safari"
9119042,Why does Apple recommend to use dispatch_once for implementing the singleton pattern under ARC?,306,"ios, objective-c, singleton, automatic-ref-counting"
255927,-didSelectRowAtIndexPath: not being called,302,"ios, uitableview, cocoa-touch, didselectrowatindexpath"
24869481,How to detect if app is being built for device or simulator in Swift,302,"ios, swift"
12446990,How to detect iPhone 5 (widescreen devices)?,302,"iphone, ios, objective-c, screen, device"
933331,How to use NSURLConnection to connect with SSL for an untrusted cert?,302,"ios, objective-c, https, ssl-certificate, app-transport-security"
21250510,Generate .pem file used to set up Apple Push Notifications,300,"ios, push-notification, apple-push-notifications, pem"
25644054,UIActivityViewController crashing on iOS 8 iPads,299,"ios, objective-c, swift, uiactivityviewcontroller"
5277940,Why does viewWillAppear not get called when an app comes back from the background?,299,"ios, objective-c, iphone, viewwillappear"
540345,How do you load custom UITableViewCells from Xib files?,298,"ios, uitableview, cocoa-touch, xib"
7848766,How can we programmatically detect which iOS version is device running on? [duplicate],296,"iphone, objective-c, ios, cocoa-touch, ios4"
5035132,"How to Sync iPhone Core Data with web server, and then push to other devices? [closed]",296,"iphone, ios, core-data, sync, data-synchronization"
29209453,How to hide a navigation bar from first ViewController in Swift?,295,"ios, swift, uinavigationcontroller, uinavigationbar"
19962276,"Best practices for Storyboard login screen, handling clearing of data upon logout",295,"ios, authentication, uistoryboard, logout"
39652867,"Code Sign Error in macOS High Sierra Xcode - resource fork, Finder information, or similar detritus not allowed",294,"ios, xcode, xcode8, macos-sierra, file-forks"
29289304,How do you debug React Native?,294,"android, ios, react-native, debugging"
327082,EXC_BAD_ACCESS signal received,294,"ios, cocoa-touch"
61863826,iPhone is not available. Please reconnect the device,293,"ios, xcode"
18294872,iOS 7 status bar back to iOS 6 default style in iPhone app?,293,"ios, objective-c, ios7, statusbar"
23755974,cocoapods - 'pod install' takes forever,292,"ios, command, cocoapods, repo, pod-install"
227078,Creating a left-arrow button (like UINavigationBar's “back” style) on a UIToolbar,292,"ios, iphone, cocoa-touch, uinavigationbar, uitoolbar"
468879,Adding images or videos to iPhone Simulator,290,"ios, iphone, ios-simulator, uiimagepickercontroller, photo"
545091,Clearing NSUserDefaults,290,"ios, objective-c, cocoa-touch, nsuserdefaults"
599405,iPhone Navigation Bar Title text color,288,"ios, uinavigationbar, navigationitem"
4660371,How to add a touch event to a UIView?,288,"ios, objective-c, events, uiview, touch"
355168,Proper way to exit iPhone application?,286,"ios, objective-c, iphone, cocoa-touch, ipad"
19187857,Processing Symbol Files in Xcode,286,"iphone, ios, xcode"
12991935,How to programmatically get iOS status bar height,285,"ios, uikit, retina-display"
44376002,What are my options for storing data when using React Native? (iOS and Android) [closed],285,"android, ios, react-native"
13075415,Evenly space multiple views within a container view,284,"ios, rotation, ios6, spacing, autolayout"
14202255,pod install -bash: pod: command not found,283,"ios, cocoapods, pod-install"
39524148,Xcode error: Code signing is required for product type 'Application' in SDK 'iOS 10.0',283,"ios, xcode, xcode8, ios10, code-signing"
26386093,Array from dictionary keys in swift,282,"ios, arrays, xcode, dictionary, swift"
29923881,Could not insert new outlet connection: Could not find any information for the class named,281,"ios, swift, xcode, interface-builder, iboutlet"
24059327,Detect current device with UI_USER_INTERFACE_IDIOM() in Swift,281,"ios, iphone, objective-c, ipad, swift"
668228,String replacement in Objective-C,281,"ios, objective-c, iphone, nsstring"
844658,What does “@private” mean in Objective-C?,281,"ios, objective-c, cocoa, private"
458304,How can I programmatically determine if my app is running in the iphone simulator?,280,"ios, objective-c, swift, xcode, ios-simulator"
6972092,iOS: How to store username/password within an app?,280,"ios, nsuserdefaults, keychain"
25059443,What is NSLayoutConstraint “UIView-Encapsulated-Layout-Height” and how should I go about forcing it to recalculate cleanly?,280,"ios, uitableview, cocoa-touch, autolayout, ios-autolayout"
3330378,Cocoa Touch: How To Change UIView's Border Color And Thickness?,278,"ios, objective-c, iphone, cocoa-touch, interface-builder"
24475792,How to use pull to refresh in Swift?,277,"ios, swift, xcode, uirefreshcontrol"
24687238,Changing navigation bar color in Swift,276,"ios, swift, uinavigationbar"
10167221,iOS detect if user is on an iPad,276,"ios, objective-c, swift, ipad, device"
24101450,How do you find out the type of an object (in Swift)?,276,"ios, swift, typechecking"
46192280,Detect if the device is iPhone X,275,"ios, objective-c, iphone, iphone-x"
26554894,How to present UIAlertController when not in a view controller?,274,"ios, uialertcontroller"
728372,When is layoutSubviews called?,274,"ios, cocoa-touch, autolayout, bounds, layoutsubviews"
30743408,Check for internet connection with Swift,273,"ios, swift, xcode, reachability"
20565565,An App ID with Identifier '' is not available. Please enter a different string,273,"ios, xcode, app-store, provisioning-profile, app-id"
9555403,Capturing mobile phone traffic on Wireshark,273,"android, iphone, ios, networking, wireshark"
30722606,What does ENABLE_BITCODE do in xcode 7?,273,"ios, iphone, xcode7, bitcode"
6131205,How to find topmost view controller on iOS,272,"ios, objective-c, uiview, uiviewcontroller, uikit"
26389273,How to trap on UIViewAlertForUnsatisfiableConstraints?,272,"ios, autolayout, uikit, constraints, xcode7"
57988687,How to use dark mode in simulator iOS 13?,272,"ios, ios-simulator, ios-darkmode"
11601304,Xcode: failed to get the task for process,271,"ios, xcode4"
3095612,Warning: The Copy Bundle Resources build phase contains this target's Info.plist file,271,"ios, iphone, xcode, build, target"
2315948,How to store custom objects in NSUserDefaults,271,"ios, objective-c, iphone, encoding, nsuserdefaults"
2312899,How to add line break for UILabel?,270,"ios, iphone, uilabel, newline, line-breaks"
49592840,No accounts with iTunes Connect access have been found for the team,269,"ios, app-store, app-store-connect"
30547283,Submit to App Store issues: Unsupported Architecture x86,269,"ios, xcode, ios-simulator, app-store-connect, x86-64"
24007518,How can I use Timer (formerly NSTimer) in Swift?,268,"ios, nstimer, nstimeinterval, swift"
24206732,Can't use Swift classes inside Objective-C,268,"ios, objective-c, swift"
24030348,How to create a button programmatically?,268,"ios, swift, uibutton"
25755443,iPhone 6 Plus resolution confusion: Xcode or Apple's website? for development,268,"ios, xcode, ios-simulator, iphone-6, iphone-6-plus"
1345561,How to create a multiline UITextfield?,268,"ios, uitextfield, uitextview"
19022210,preferredStatusBarStyle isn't called,267,"ios, ios7, uikit, uistatusbar"
24356888,How do I change the font size of a UILabel in Swift?,267,"ios, uilabel, swift"
25338428,Xcode: issue “file xxx.png is missing from working copy” at project building,266,"ios, xcode, file"
24158648,Why isn't ProjectName-Prefix.pch created automatically in Xcode 6?,266,"ios, xcode, xcode6"
1669645,How to force NSLocalizedString to use a specific language,266,"ios, objective-c, localization, internationalization, nslocalizedstring"
18913676,Xcode : failed to get the task for process,266,"ios, xcode, code-signing, provisioning-profile, ad-hoc-distribution"
29865899,ld: framework not found Pods,265,"ios, xcode, cocoapods"
4564621,Aligning text and image on UIButton with imageEdgeInsets and titleEdgeInsets,264,"iphone, ios, uibutton, uikit"
12396545,iOS 6 apps - how to deal with iPhone 5 screen size? [duplicate],264,"iphone, ios, iphone-5"
10428629,Programmatically set the initial view controller using Storyboards,263,"ios, objective-c, swift, uiviewcontroller, uistoryboard"
12234457,2D cross-platform game engine for Android and iOS? [closed],263,"android, ios, 2d, game-engine, marmalade"
10165641,How can I get the console logs from the iOS Simulator?,262,"ios, console, ios-simulator"
19556336,How do you add an in-app purchase to an iOS application?,262,"ios, objective-c, swift, cocoa-touch, in-app-purchase"
8286120,Where are iOS simulator screenshots stored?,262,"ios, iphone, ios-simulator, screenshot, xcode9"
8561774,Hide separator line on one UITableViewCell,261,"ios, objective-c, uitableview, cocoa-touch, separator"
1256887,Create tap-able “links” in the NSAttributedString of a UILabel?,260,"ios, hyperlink, uilabel, nsattributedstring, uitapgesturerecognizer"
10021748,How do I show/hide a UIBarButtonItem?,259,"ios, uibarbuttonitem, uitoolbar"
3586871,Bold & Non-Bold Text In A Single UILabel?,259,"ios, objective-c, swift, uilabel, nsattributedstring"
31088618,Impact of Xcode build options “Enable bitcode” Yes/No,259,"ios, xcode, parse-platform, bitcode"
26076054,Changing Placeholder Text Color with Swift,258,"ios, swift, uikit"
4631878,How to set iPhone UIView z index?,258,"ios, uiview, position, z-index"
20030873,Always pass weak reference of self into block in ARC?,258,"ios, iphone, objective-c, automatic-ref-counting, weak-references"
9844925,UIView Infinite 360 degree rotation animation?,258,"ios, objective-c, animation, uiview, core-animation"
11197509,How to get device make and model on iOS?,257,"ios, objective-c, iphone, ipad"
46585809,Error ITMS-90717: “Invalid App Store Icon”,255,"ios, xcode, app-store, app-store-connect"
458632,How can my iphone app detect its own version number?,255,"iphone, ios, version"
26306326,Swift apply .uppercaseString to only the first letter of a string,254,"ios, swift, string, ios8-extension"
7410845,How to disable scrolling in UITableView table when the content fits on the screen,254,"iphone, ios, uitableview, scroll"
25807545,What is “Constrain to margin” in Storyboard in Xcode 6,254,"ios, xcode, storyboard, autolayout, xcode6"
