question,votes,tags
"iOS app with framework crashed on device, dyld: Library not loaded, Xcode 6 Beta",610,"ios, swift, crash, frameworks, dyld"
What does the NS prefix mean?,610,"ios, objective-c, cocoa, cocoa-touch, terminology"
UITextField text change event,598,"ios, objective-c, swift, event-handling, uitextfielddelegate"
What are Unwind segues for and how do you use them?,594,"ios, ios6, uistoryboard"
How to tell if UIViewController's view is visible,594,"ios, uiview, uiviewcontroller, uiwindow"
Giving UIView rounded corners,588,"ios, cocoa-touch, uiview"
iPhone UITextField - Change placeholder text color,579,"ios, uitextfield"
Presenting modal in iOS 13 fullscreen,574,"ios, viewcontroller, modalviewcontroller, ios13"
"UITableViewCell, show delete button on swipe",572,"ios, uitableview, cocoa-touch, uikit"
Convert UTF-8 encoded NSData to NSString,572,"ios, nsstring, nsdata"
"In Objective-C, how do I test the object type?",566,"ios, objective-c"
UIScrollView Scrollable Content Size Ambiguity,565,"ios, swift, uiscrollview, autolayout, interface-builder"
Should IBOutlets be strong or weak under ARC?,560,"ios, objective-c, cocoa-touch, interface-builder, automatic-ref-counting"
How can I create a UIColor from a hex string?,558,"ios, cocoa-touch, uicolor"
The resource could not be loaded because the App Transport Security policy requires the use of a secure connection,550,"ios, nsurlconnection, nsurlsession, ios9, xcode7"
How do I size a UITextView to its content?,541,"ios, cocoa-touch, autolayout, uikit, uitextview"
Starting iPhone app development in Linux? [closed],540,"ios, linux"
How to programmatically send SMS on the iPhone?,535,"ios, objective-c, cocoa-touch, sms"
How to get the screen width and height in iOS?,529,"cocoa-touch, ios, uikit, screen"
How to lose margin/padding in UITextView?,525,"ios, iphone, cocoa-touch, uikit, uitextview"
How would I create a UIAlertView in Swift?,516,"ios, swift, cocoa-touch, uialertview, uialertcontroller"
How to add constraints programmatically using Swift,510,"ios, swift, uiview, autolayout, nslayoutconstraint"
UIDevice uniqueIdentifier deprecated - What to do now?,505,"ios, deprecated, uidevice"
Codesign error: Provisioning profile cannot be found after deleting expired profile,504,"ios, xcode, provisioning-profile, codesign"
How to develop or migrate apps for iPhone 5 screen resolution?,499,"ios, iphone, screen, iphone-5"
How to navigate through textfields (Next / Done Buttons),498,"ios, objective-c, iphone"
Take screenshots in the iOS simulator,495,"ios, iphone, xcode, ios-simulator, screenshot"
"“Agreeing to the Xcode/iOS license requires admin privileges, please re-run as root via sudo.” when using GCC",492,"ios, xcode, gcc"
Set the maximum character length of a UITextField,484,"ios, objective-c, cocoa-touch, uitextfield"
"Xcode 12, building for iOS Simulator, but linking in object file built for iOS, for architecture arm64",480,"ios, xcode, xcode12, xcode12beta5, xcode12beta6"
Detect if device is iOS,480,"javascript, ios, browser, browser-feature-detection"
iOS - Dismiss keyboard when touching outside of UITextField,479,"ios, cocoa-touch, uitextfield, uikit"
How to set cornerRadius for only top-left and top-right corner of a UIView?,478,"ios, cocoa-touch, uiview, cornerradius"
How to hide UINavigationBar 1px bottom line,478,"ios, objective-c, swift, ipad, uinavigationbar"
Is it possible to disable the network in iOS Simulator?,476,"ios, iphone, debugging, networking, ios-simulator"
NSOperation vs Grand Central Dispatch,476,"ios, concurrency, grand-central-dispatch, nsoperation, nsoperationqueue"
This certificate has an invalid issuer Apple Push Services,470,"ios, xcode, apple-push-notifications, ssl-certificate, keychain"
Capture iOS Simulator video for App Preview,468,"ios, ios-simulator, ios8, video-capture, screen-capture"
How do you beta test an iphone app?,466,"ios, beta-testing"
Loading/Downloading image from URL on Swift,463,"ios, swift, uiimage, nsurl"
How do I get the App version and build number using Swift?,458,"ios, swift"
Multiple lines of text in UILabel,457,"ios, uilabel, uitextview, line-breaks, multiline"
What does the “__block” keyword mean?,457,"objective-c, ios, objective-c-blocks"
How to determine the current iPhone/device model?,454,"ios, iphone, swift, device"
How do I load an HTTP URL with App Transport Security enabled in iOS 9? [duplicate],447,"ios, url, nsurl, ios9, app-transport-security"
Close iOS Keyboard by touching anywhere using Swift,446,"ios, swift, uikeyboard"
@import vs #import - iOS 7,444,"ios, objective-c, import, ios7"
Status bar and navigation bar appear over my view's bounds in iOS 7,440,"ios, ios7"
Capture image via captureStillImageAsynchronouslyFromConnection with no shutter sound [duplicate],440,"ios, objective-c, avfoundation"
Getting current device language in iOS?,439,"ios, objective-c, cocoa-touch, nslocale"
Symbolicating iPhone App Crash Reports,439,"ios, crash-reports, symbolicate"
How do you disable viewport zooming on Mobile Safari?,436,"html, ios, zooming, mobile-safari, viewport"
Array state will be cached in iOS 12 Safari. Is it a bug or feature?,435,"javascript, ios, safari, ios12"
How can I change image tintColor in iOS and WatchKit,434,"ios, swift, uiimage, uicolor, watchkit"
Code signing is required for product type 'Application' in SDK 'iOS 10.0' - StickerPackExtension requires a development team error,431,"ios, xcode, code-signing, provisioning-profile"
dyld: Library not loaded: @rpath/libswiftCore.dylib,430,"ios, swift, xcode, dyld"
iOS9 Untrusted Enterprise Developer with no option to trust,426,"ios, ios9, ios-enterprise"
Text inset for UITextField?,425,"ios, cocoa-touch, uitextfield"
Error Running React Native App From Terminal (iOS),425,"javascript, ios, reactjs, react-native, ios-simulator"
Updating to latest version of CocoaPods?,425,"ios, swift, xcode, cocoapods"
Fixing Xcode 9 issue: “iPhone is busy: Preparing debugger support for iPhone”,423,"ios, xcode, ios11, xcode9"
UIView with rounded corners and drop shadow?,421,"ios, cocoa-touch, uiview, calayer, rounded-corners"
NSNotificationCenter addObserver in Swift,421,"ios, swift, nsnotificationcenter"
iPad Multitasking support requires these orientations,414,"ios, objective-c, iphone, xcode, ipad"
The simplest way to resize an UIImage?,413,"ios, uiimage, resize"
"Getting error “No such module” using Xcode, but the framework is there",411,"ios, xcode, swift"
How do I make an HTTP request in Swift?,410,"ios, objective-c, swift, iphone, nsurlsession"
How to create dispatch queue in Swift 3,409,"ios, swift3, xcode8, grand-central-dispatch, dispatch-after"
Design for Facebook authentication in an iOS app that also accesses a secured web service,409,"ios, ios4, facebook, facebook-graph-api"
Set padding for UITextField with UITextBorderStyleNone,408,"ios, uitextfield, padding"
Core Data: Quickest way to delete all instances of an entity,408,"ios, objective-c, core-data"
UITableView - scroll to the top,407,"ios, uitableview"
How to downgrade or install an older version of Cocoapods,406,"ios, ruby, rubygems, cocoapods"
How dangerous is it to compare floating point values?,404,"objective-c, ios, c, floating-point, floating-accuracy"
"File is universal (three slices), but it does not contain a(n) ARMv7-s slice error for static libraries on iOS, anyway to bypass?",403,"ios, objective-c, xcode, ios6, static-libraries"
Can you animate a height change on a UITableViewCell when selected?,402,"ios, cocoa-touch, uitableview"
How to use hex color values,397,"ios, swift, uicolor"
iPhone hide Navigation Bar only on first page,396,"ios, uinavigationcontroller, hide"
How do I convert a Swift Array to a String?,396,"ios, arrays, swift"
Is it possible to opt-out of dark mode on iOS 13?,394,"ios, ios13, ios-darkmode"
Test iOS app on device without apple developer program or jailbreak,394,"ios, ios-provisioning"
Set UIButton title UILabel font size programmatically,393,"objective-c, cocoa-touch, ios, uibutton, font-size"
iOS 10: “[App] if we're in the real pre-commit handler we can't actually add any new fences due to CA restriction”,390,ios
How to define optional methods in Swift protocol?,387,"ios, swift, optional-parameters, swift-protocols, swift-extensions"
Creating a blurring overlay view,387,"ios, objective-c, graphics, filtering, core-image"
Applications are expected to have a root view controller at the end of application launch,385,"ios, objective-c"
How do you add multi-line text to a UIButton?,382,"ios, cocoa-touch, uibutton, uikit"
How to validate an e-mail address in swift?,379,"ios, validation, email, swift"
Add an element to an array in Swift,377,"ios, arrays, swift"
Objective-C ARC: strong vs retain and weak vs assign,374,"ios, objective-c, ios5, properties, automatic-ref-counting"
"How do you perform wireless debugging in Xcode 9 with iOS 11, Apple TV 4K, etc?",374,"ios, xcode, ios11, xcode9"
Fast and Lean PDF Viewer for iPhone / iPad / iOS - tips and hints?,373,"ios, swift, pdf, calayer, apple-pdfkit"
How to use background thread in swift?,371,"ios, swift, multithreading, dispatch-queue"
Missing Compliance in Status when I add built for internal testing in Test Flight.How to solve?,371,"ios, iphone, xcode, app-store-connect, testflight"
Converting String to Int with Swift,371,"ios, swift, int, uitextfield"
"Determine device (iPhone, iPod Touch) with iOS",371,"ios, objective-c, iphone, ipod-touch"
Error when testing on iOS simulator: Couldn't register with the bootstrap server,370,"ios, xcode, ios-simulator"
How to remove empty cells in UITableView? [duplicate],367,"ios, objective-c, uitableview"
How to write iOS app purely in C,367,"objective-c, ios, c, cocoa-touch, objective-c-runtime"
Cocoapods Warning - CocoaPods did not set the base configuration of your project because because your project already has a custom config set,365,"ios, xcode, cocoapods"
Add placeholder text inside UITextView in Swift?,362,"ios, swift, uitextview, placeholder"
How to program a delay in Swift 3,361,"ios, swift, xcode, swift3, dispatch-after"
Global constants file in Swift,359,"ios, objective-c, swift"
How to pass prepareForSegue: an object,359,"ios, xcode, uitableview, mapkit, storyboard"
How do I draw a shadow under a UIView?,355,"iphone, objective-c, ios, cocoa-touch, core-graphics"
"After upgrading to Xcode 11.2 from Xcode 11.1, app crashes due to _UITextLayoutView",354,"ios, swift, xcode, uitextview, xcode11.2"
Xcode “Device Locked” When iPhone is unlocked,353,"ios, iphone, xcode, device"
How to install CocoaPods?,352,"ios, swift, xcode, rubygems, cocoapods"
UIButton remove all target-actions,351,"ios, uibutton"
Images can't contain alpha channels or transparencies,350,"ios, iphone, itunes, app-store-connect"
How to use auto-layout to move other views when a view is hidden?,347,"ios, iphone, cocoa-touch, interface-builder, autolayout"
What are best practices that you use when writing Objective-C and Cocoa? [closed],346,"iphone, objective-c, cocoa, cocoa-touch, ios"
Generate JSON string from NSDictionary in iOS,346,"ios, objective-c, json, string"
When to use NSInteger vs. int,345,"ios, objective-c, types, nsinteger"
UITableView - change section header color,344,"ios, uitableview, cocoa-touch"
How do I detect when someone shakes an iPhone?,343,"ios, accelerometer, motion-detection, shake"
Create singleton using GCD's dispatch_once in Objective-C,343,"ios, objective-c, singleton, grand-central-dispatch"
Emulating aspect-fit behaviour using AutoLayout constraints in Xcode 6,342,"ios, objective-c, xcode, autolayout"
iOS UIImagePickerController result image orientation after upload,342,"ios, iphone, cocoa-touch, uiimage, uiimagepickercontroller"
library not found for -lPods,341,"iphone, objective-c, ios, xcode4.3, cocoapods"
Convert an NSURL to an NSString,341,"ios, objective-c, swift, nsstring, nsurl"
Remove or uninstall library previously added : cocoapods,339,"ios, iphone, ipad, cocoapods"
Swift - encode URL,337,"ios, swift, urlencode"
iTunes Connect: How to choose a good SKU?,336,"ios, app-store-connect"
How to disable back swipe gesture in UINavigationController on iOS 7,335,"ios, objective-c, uinavigationcontroller, uigesturerecognizer, ios7"
How do I put the image on the right side of the text in a UIButton?,334,"ios, user-interface, layout, uibutton"
Proper way to renew distribution certificate for iOS,332,"iphone, ios, app-store, app-store-connect, ios-provisioning"
“Warning: iPhone apps should include an armv6 architecture” even with build config set,332,"ios, xcode"
UITableView Cell selected Color?,331,"ios, objective-c, uitableview, selection-color"
Programmatically get own phone number in iOS,331,"ios, iphone, phone-number"
I get conflicting provisioning settings error when I try to archive to submit an iOS app,330,"ios, xcode"
Best architectural approaches for building iOS networking applications (REST clients) [closed],330,"ios, objective-c, web-services, networking, ios7"
iPhone Simulator suddenly started running very slow,329,"ios, macos, ios-simulator, osx-mountain-lion"
How do I check when a UITextField changes?,329,"ios, swift, uitextfield"
iPhone App Icons - Exact Radius?,328,"iphone, ios, ipad, icons"
Can I use Objective-C blocks as properties?,325,"ios, objective-c, automatic-ref-counting, objective-c-blocks"
Assertion failure in dequeueReusableCellWithIdentifier:forIndexPath:,324,"ios, objective-c, uitableview"
What's the difference between all the Selection Segues?,324,"ios, ios8, xcode6, segue"
Color Tint UIButton Image,323,"ios, iphone, uibutton, ios7, uisegmentedcontrol"
UILabel text margin [duplicate],322,"ios, cocoa-touch, uikit, uilabel"
How to remove all subviews?,322,"ios, subview"
Instantiate and Present a viewController in Swift,322,"ios, objective-c, swift, uiviewcontroller"
Automatic Preferred Max Layout Width is not available on iOS versions prior to 8.0,322,"ios, autolayout, ios8, xcode6"
Adjust UILabel height depending on the text,321,"ios, cocoa-touch, uikit, uilabel"
Ineligible Devices section appeared in Xcode 6.x.x,321,"ios, xcode6"
"UIView frame, bounds and center",321,"objective-c, ios, uiview, frame, bounds"
How do I associate file types with an iPhone application?,321,"ios, cocoa-touch"
How do I create a category in Xcode 6 or higher?,320,"ios, objective-c, categories, xcode6"
How to hide 'Back' button on navigation bar on iPhone?,319,"ios, objective-c, iphone, navigation, uinavigationcontroller"
Why I get the console warning: [Process] kill() returned unexpected error 1 when I load a WKWebView in iOS13.2?,319,"ios, objective-c, wkwebview, ios13"
App installation failed due to application-identifier entitlement,318,"ios, watchkit, watchos-2"
Move view with keyboard using Swift,317,"ios, swift, uikit, nsnotificationcenter, uikeyboard"
UIScrollView scroll to bottom programmatically,317,"ios, objective-c, swift, uiscrollview"
How to print Boolean flag in NSLog?,317,"ios, objective-c, cocoa-touch"
Enterprise app deployment doesn't work on iOS 7.1,317,"ios, deployment"
How to perform Unwind segue programmatically?,317,"ios, segue, ios6"
Programmatically create a UIView with color gradient,315,"ios, uiview, uicolor"
Can I safely delete contents of Xcode Derived data folder?,315,"ios, xcode"
iPhone app signing: A valid signing identity matching this profile could not be found in your keychain,314,"ios, xcode"
How do you use NSAttributedString?,313,"ios, ios4, nsattributedstring, textcolor"
Generate a UUID on iOS from Swift,312,"ios, swift, cocoa-touch, guid, core-foundation"
Looking to understand the iOS UIViewController lifecycle,311,"ios, uiviewcontroller, xamarin.ios, lifecycle"
Undefined symbols for architecture armv7,311,"ios, armv7"
How to localise a string inside the iOS info.plist file?,310,"ios, xcode, plist, beta"
UITableview: How to Disable Selection for Some Rows but Not Others,309,"ios, iphone, objective-c, uitableview"
UIRefreshControl without UITableViewController,308,"objective-c, ios, uitableview, ios6, uirefreshcontrol"
how to implement a pop up dialog box in iOS,307,"ios, popup"
UIImageView missing images in Launch Screen on device,306,"ios, objective-c, uiimageview, uiimage, launch-screen"
UIWebView open links in Safari,306,"ios, uiwebview, mobile-safari"
Why does Apple recommend to use dispatch_once for implementing the singleton pattern under ARC?,306,"ios, objective-c, singleton, automatic-ref-counting"
-didSelectRowAtIndexPath: not being called,302,"ios, uitableview, cocoa-touch, didselectrowatindexpath"
How to detect if app is being built for device or simulator in Swift,302,"ios, swift"
How to detect iPhone 5 (widescreen devices)?,302,"iphone, ios, objective-c, screen, device"
How to use NSURLConnection to connect with SSL for an untrusted cert?,302,"ios, objective-c, https, ssl-certificate, app-transport-security"
Generate .pem file used to set up Apple Push Notifications,300,"ios, push-notification, apple-push-notifications, pem"
UIActivityViewController crashing on iOS 8 iPads,299,"ios, objective-c, swift, uiactivityviewcontroller"
Why does viewWillAppear not get called when an app comes back from the background?,299,"ios, objective-c, iphone, viewwillappear"
How do you load custom UITableViewCells from Xib files?,298,"ios, uitableview, cocoa-touch, xib"
How can we programmatically detect which iOS version is device running on? [duplicate],296,"iphone, objective-c, ios, cocoa-touch, ios4"
"How to Sync iPhone Core Data with web server, and then push to other devices? [closed]",296,"iphone, ios, core-data, sync, data-synchronization"
How to hide a navigation bar from first ViewController in Swift?,295,"ios, swift, uinavigationcontroller, uinavigationbar"
"Best practices for Storyboard login screen, handling clearing of data upon logout",295,"ios, authentication, uistoryboard, logout"
"Code Sign Error in macOS High Sierra Xcode - resource fork, Finder information, or similar detritus not allowed",294,"ios, xcode, xcode8, macos-sierra, file-forks"
How do you debug React Native?,294,"android, ios, react-native, debugging"
EXC_BAD_ACCESS signal received,294,"ios, cocoa-touch"
iPhone is not available. Please reconnect the device,293,"ios, xcode"
iOS 7 status bar back to iOS 6 default style in iPhone app?,293,"ios, objective-c, ios7, statusbar"
cocoapods - 'pod install' takes forever,292,"ios, command, cocoapods, repo, pod-install"
Creating a left-arrow button (like UINavigationBar's “back” style) on a UIToolbar,292,"ios, iphone, cocoa-touch, uinavigationbar, uitoolbar"
Adding images or videos to iPhone Simulator,290,"ios, iphone, ios-simulator, uiimagepickercontroller, photo"
Clearing NSUserDefaults,290,"ios, objective-c, cocoa-touch, nsuserdefaults"
iPhone Navigation Bar Title text color,288,"ios, uinavigationbar, navigationitem"
How to add a touch event to a UIView?,288,"ios, objective-c, events, uiview, touch"
Proper way to exit iPhone application?,286,"ios, objective-c, iphone, cocoa-touch, ipad"
Processing Symbol Files in Xcode,286,"iphone, ios, xcode"
How to programmatically get iOS status bar height,285,"ios, uikit, retina-display"
What are my options for storing data when using React Native? (iOS and Android) [closed],285,"android, ios, react-native"
Evenly space multiple views within a container view,284,"ios, rotation, ios6, spacing, autolayout"
pod install -bash: pod: command not found,283,"ios, cocoapods, pod-install"
Xcode error: Code signing is required for product type 'Application' in SDK 'iOS 10.0',283,"ios, xcode, xcode8, ios10, code-signing"
Could not insert new outlet connection: Could not find any information for the class named,281,"ios, swift, xcode, interface-builder, iboutlet"
Detect current device with UI_USER_INTERFACE_IDIOM() in Swift,281,"ios, iphone, objective-c, ipad, swift"
String replacement in Objective-C,281,"ios, objective-c, iphone, nsstring"
Array from dictionary keys in swift,281,"ios, arrays, xcode, dictionary, swift"
What does “@private” mean in Objective-C?,281,"ios, objective-c, cocoa, private"
How can I programmatically determine if my app is running in the iphone simulator?,280,"ios, objective-c, swift, xcode, ios-simulator"
iOS: How to store username/password within an app?,280,"ios, nsuserdefaults, keychain"
What is NSLayoutConstraint “UIView-Encapsulated-Layout-Height” and how should I go about forcing it to recalculate cleanly?,280,"ios, uitableview, cocoa-touch, autolayout, ios-autolayout"
Cocoa Touch: How To Change UIView's Border Color And Thickness?,278,"ios, objective-c, iphone, cocoa-touch, interface-builder"
How to use pull to refresh in Swift?,277,"ios, swift, xcode, uirefreshcontrol"
Changing navigation bar color in Swift,276,"ios, swift, uinavigationbar"
iOS detect if user is on an iPad,276,"ios, objective-c, swift, ipad, device"
How do you find out the type of an object (in Swift)?,276,"ios, swift, typechecking"
Detect if the device is iPhone X,275,"ios, objective-c, iphone, iphone-x"
How to present UIAlertController when not in a view controller?,274,"ios, uialertcontroller"
When is layoutSubviews called?,274,"ios, cocoa-touch, autolayout, bounds, layoutsubviews"
Check for internet connection with Swift,273,"ios, swift, xcode, reachability"
An App ID with Identifier '' is not available. Please enter a different string,273,"ios, xcode, app-store, provisioning-profile, app-id"
Capturing mobile phone traffic on Wireshark,273,"android, iphone, ios, networking, wireshark"
What does ENABLE_BITCODE do in xcode 7?,273,"ios, iphone, xcode7, bitcode"
How to find topmost view controller on iOS,272,"ios, objective-c, uiview, uiviewcontroller, uikit"
How to trap on UIViewAlertForUnsatisfiableConstraints?,272,"ios, autolayout, uikit, constraints, xcode7"
How to use dark mode in simulator iOS 13?,272,"ios, ios-simulator, ios-darkmode"
Xcode: failed to get the task for process,271,"ios, xcode4"
Warning: The Copy Bundle Resources build phase contains this target's Info.plist file,271,"ios, iphone, xcode, build, target"
How to store custom objects in NSUserDefaults,271,"ios, objective-c, iphone, encoding, nsuserdefaults"
How to add line break for UILabel?,270,"ios, iphone, uilabel, newline, line-breaks"
No accounts with iTunes Connect access have been found for the team,269,"ios, app-store, app-store-connect"
Submit to App Store issues: Unsupported Architecture x86,269,"ios, xcode, ios-simulator, app-store-connect, x86-64"
How can I use Timer (formerly NSTimer) in Swift?,268,"ios, nstimer, nstimeinterval, swift"
Can't use Swift classes inside Objective-C,268,"ios, objective-c, swift"
How to create a button programmatically?,268,"ios, swift, uibutton"
iPhone 6 Plus resolution confusion: Xcode or Apple's website? for development,268,"ios, xcode, ios-simulator, iphone-6, iphone-6-plus"
How to create a multiline UITextfield?,268,"ios, uitextfield, uitextview"
preferredStatusBarStyle isn't called,267,"ios, ios7, uikit, uistatusbar"
How do I change the font size of a UILabel in Swift?,267,"ios, uilabel, swift"
Xcode: issue “file xxx.png is missing from working copy” at project building,266,"ios, xcode, file"
Why isn't ProjectName-Prefix.pch created automatically in Xcode 6?,266,"ios, xcode, xcode6"
How to force NSLocalizedString to use a specific language,266,"ios, objective-c, localization, internationalization, nslocalizedstring"
Xcode : failed to get the task for process,266,"ios, xcode, code-signing, provisioning-profile, ad-hoc-distribution"
ld: framework not found Pods,265,"ios, xcode, cocoapods"
Aligning text and image on UIButton with imageEdgeInsets and titleEdgeInsets,264,"iphone, ios, uibutton, uikit"
iOS 6 apps - how to deal with iPhone 5 screen size? [duplicate],264,"iphone, ios, iphone-5"
Programmatically set the initial view controller using Storyboards,263,"ios, objective-c, swift, uiviewcontroller, uistoryboard"
2D cross-platform game engine for Android and iOS? [closed],263,"android, ios, 2d, game-engine, marmalade"
How can I get the console logs from the iOS Simulator?,262,"ios, console, ios-simulator"
How do you add an in-app purchase to an iOS application?,262,"ios, objective-c, swift, cocoa-touch, in-app-purchase"
Where are iOS simulator screenshots stored?,262,"ios, iphone, ios-simulator, screenshot, xcode9"
Hide separator line on one UITableViewCell,261,"ios, objective-c, uitableview, cocoa-touch, separator"
Create tap-able “links” in the NSAttributedString of a UILabel?,260,"ios, hyperlink, uilabel, nsattributedstring, uitapgesturerecognizer"
How do I show/hide a UIBarButtonItem?,259,"ios, uibarbuttonitem, uitoolbar"
Bold & Non-Bold Text In A Single UILabel?,259,"ios, objective-c, swift, uilabel, nsattributedstring"
Impact of Xcode build options “Enable bitcode” Yes/No,259,"ios, xcode, parse-platform, bitcode"
Changing Placeholder Text Color with Swift,258,"ios, swift, uikit"
How to set iPhone UIView z index?,258,"ios, uiview, position, z-index"
Always pass weak reference of self into block in ARC?,258,"ios, iphone, objective-c, automatic-ref-counting, weak-references"
UIView Infinite 360 degree rotation animation?,258,"ios, objective-c, animation, uiview, core-animation"
How to get device make and model on iOS?,257,"ios, objective-c, iphone, ipad"
Error ITMS-90717: “Invalid App Store Icon”,255,"ios, xcode, app-store, app-store-connect"
How can my iphone app detect its own version number?,255,"iphone, ios, version"
Swift apply .uppercaseString to only the first letter of a string,254,"ios, swift, string, ios8-extension"
How to disable scrolling in UITableView table when the content fits on the screen,254,"iphone, ios, uitableview, scroll"
What is “Constrain to margin” in Storyboard in Xcode 6,254,"ios, xcode, storyboard, autolayout, xcode6"
"Explaining difference between automaticallyAdjustsScrollViewInsets, extendedLayoutIncludesOpaqueBars, edgesForExtendedLayout in iOS7",253,"ios, objective-c, xcode, uiviewcontroller, ios7"
Making a UITableView scroll when text field is selected,253,"ios, iphone, uitableview, keyboard, scroll"
How to determine whether code is running in DEBUG / RELEASE build?,253,"ios, xcode, debugging, preprocessor, release"
How to change the background color of a UIButton while it's highlighted?,252,"ios, objective-c, xcode, uibutton"
Xcode 8 shows error that provisioning profile doesn't include signing certificate,252,"ios, iphone, xcode8, provisioning-profile"
Prevent segue in prepareForSegue method?,252,"ios, cocoa-touch, uiviewcontroller, storyboard, segue"
Xcode 10: A valid provisioning profile for this executable was not found,251,"ios, xcode"
iOS - Calling App Delegate method from ViewController,250,"ios, objective-c, uiviewcontroller, appdelegate"
Is it possible to install iOS 6 SDK on Xcode 5?,250,"ios, xcode, ios6, xcode5"
How do I fix the xcrun unable to find simctl error?,248,"ios, xcode, xcrun"
How to uninstall downloaded Xcode simulator? [duplicate],248,"ios, xcode, ios-simulator"
Cancel a UIView animation?,248,"ios, core-animation, uiviewanimation"
Delete keychain items when an app is uninstalled,248,"ios, objective-c, keychain"
Convert between UIImage and Base64 string,247,"ios, swift, uiimage, base64, nsdata"
React Native: How to select the next TextInput after pressing the “next” keyboard button?,247,"ios, react-native"
Pod install is staying on “Setting up CocoaPods Master repo”,247,"ios, objective-c, git, cocoapods, pod-install"
Duplicate symbols for architecture x86_64 under Xcode,246,"ios, objective-c, xcode5"
Simulator slow-motion animations are now on?,246,"ios, xcode, cocoa-touch, ios-simulator"
Swipe to Delete and the “More” button (like in Mail app on iOS 7),246,"ios, uitableview, user-interface, cocoa-touch, swipe-gesture"
Is it possible for UIStackView to scroll?,245,"ios, uiscrollview, uistackview"
How to create NSIndexPath for TableView,245,"ios, iphone, uitableview, nsindexpath"
Is it possible to allow didSet to be called during initialization in Swift?,245,"ios, swift, didset"
Make UINavigationBar transparent,244,"ios, iphone, objective-c, uinavigationbar, transparency"
Case insensitive comparison NSString,244,"ios, objective-c, cocoa-touch, nsstring"
ITSAppUsesNonExemptEncryption export compliance while internal testing?,244,"ios, objective-c, app-store-connect"
Swift: Determine iOS Screen size [duplicate],243,"ios, swift"
iOS app 'The application could not be verified' only on one device,243,"ios, iphone, xcode, xcode6.1"
How can I send mail from an iPhone application,243,"ios, iphone, email, cocoa-touch"
